shoulder_width,hip_width,left_arm_length,right_arm_length,left_leg_length,right_leg_length,body_height,neck_width,chest_circumference,waist_circumference,head_width,head_height
32.807539606755824,21.830883549278074,42.836594888699,36.0973458456065,88.48769692781397,103.5865097441155,160.0,8.201884901688956,39.36904752810699,24.01397190420588,1.177829436531881,5.099862813101918
33.41587584269319,21.426633132739557,37.240816412436686,51.468493043337794,137.3389767818237,105.89631919856645,160.0,8.353968960673297,40.09905101123183,23.569296446013514,1.522961947875213,5.495658348618505
63.89499751512794,42.84080605872612,75.00307760771075,69.55479959290192,162.2048094354992,159.6075117927036,160.0,15.973749378781985,76.67399701815351,47.12488666459874,2.7073518100890737,7.5997318973484616
61.66387692886347,40.841968437177144,123.10391886966124,46.906376329148245,190.46089711901814,171.24729507624045,160.0,15.415969232215868,73.99665231463617,44.926165280894864,2.2812488478111015,6.527793048534934
55.41189891362854,38.677373385668915,101.27126717377462,76.29532397559551,170.4477720804495,214.85558605694084,160.0,13.852974728407135,66.49427869635426,42.545110724235805,2.039770756197331,5.524969185183318
67.38340629130774,47.02592796615183,184.55367575586843,92.1071175147491,242.1039545258981,204.8101228372498,160.0,16.845851572826934,80.86008754956929,51.72852076276702,0.9812986386002924,6.770709037176768
30.895467407645377,34.18667993023276,105.23401356133859,43.70208583655882,107.69957715543038,123.74285483942661,160.0,7.723866851911344,37.07456088917445,37.60534792325604,0.15215931602000402,8.601607514819893
34.14679963987584,47.61955057172287,187.05496555528174,84.06809045962166,236.20000588586942,197.06873878867825,160.0,8.53669990996896,40.976159567851006,52.38150562889516,1.822816176629645,6.753774417348133
38.667712150999996,32.85823672603439,61.898027960869044,23.205084014034938,96.34882660801723,90.3880926602749,160.0,9.666928037749999,46.40125458119999,36.14406039863783,0.14138268060697656,8.60081893268244
40.69204390250257,32.020939630225115,111.34530791146526,70.79661511246866,120.05359221858674,157.48945352681636,160.0,10.173010975625642,48.83045268300308,35.22303359324763,1.2050895569666922,8.820378995149593
